question,question-category,answer,input_circumstance,output_circumstance,lang,variables
What is my balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
what is the balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
What is my total amount?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
what is my amount?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
What is the total account balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
What is my total account balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
What is my account balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
What is the balance in my account?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
What is my card balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
what is the balance in my card?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
What is my wallet balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
What is the wallet balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
what is the balance in my wallet?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
My balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
my wallet balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
My card balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
I need to know my card balance,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
I need to know my wallet balance,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
I need to know my account balance,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
I need to know my balance,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
I want to know my card balance,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
I want to know my wallet balance,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
I want to know my account balance,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
I want to know my balance,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
balance?,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
Card balance,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
Wallet balance,balance-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
What is my transaction history?,transaction-history-inquiry,Your wallet balance is $balance,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$balance"", ""io_type"":""@def.output""}]"
what is the transaction history?,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions1"", ""io_type"":""@def.input""},{""name"":""number_2"",""type"":""@def.number"",""value"":""$transactions2"", ""io_type"":""@def.output""}]"
What is my total amount?,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
what is my amount?,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
What is the total account transaction history?,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
What is my total account transaction history?,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
What is my account transaction history?,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
What is the transaction history in my account?,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
What is my card transaction history?,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
what is the transaction history in my card?,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
What is my wallet transaction history?,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
What is the wallet transaction history?,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
what is the transaction history in my wallet?,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
My transaction history?,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
my wallet transaction history?,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
My card transaction history?,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
I need to know my card transaction history,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
I need to know my wallet transaction history,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
I need to know my account transaction history,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
I need to know my transaction history,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
I want to know my card transaction history,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
I want to know my wallet transaction history,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
I want to know my account transaction history,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
I want to know my transaction history,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
transaction history?,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
Card transaction history,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
Wallet transaction history,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
Transactions?,transaction-history-inquiry,Your transaction history is as follows,dynamic-query,dynamic-query,en-US,"[{""name"":""number_1"",""type"":""@def.number"",""value"":""$transactions"", ""io_type"":""@def.input""}]"
Hello there!,introduction,Hi! How can I help you with your account?,static-query,static-query,en-US,[]
Hi,introduction,Hi! How can I help you with your account?,static-query,static-query,en-US,[]
Hello,introduction,Hi! How can I help you with your account?,static-query,static-query,en-US,[]
Hey,introduction,Hi! How can I help you with your account?,static-query,static-query,en-US,[]
Hey there,introduction,Hi! How can I help you with your account?,static-query,static-query,en-US,[]
Good morning,introduction,Good morning! How can I help?,static-query,static-query,en-US,[]
Good afternoon,introduction,Good afternoon! How can I help?,static-query,static-query,en-US,[]
good evening,introduction,Good evening! How can I help?,static-query,static-query,en-US,[]
Hello sir,introduction,Hi! How can I help you with your account?,static-query,static-query,en-US,[]
hello mam,introduction,Hi! How can I help you with your account?,static-query,static-query,en-US,[]
thanks,introduction,Glad to service you. Have a nice day.,static-query,static-query,en-US,[]
Thank you,introduction,Glad to service you. Have a nice day.,static-query,static-query,en-US,[]
That would be all,introduction,Glad to service you. Have a nice day.,static-query,static-query,en-US,[]
that should be all,introduction,Glad to service you. Have a nice day.,static-query,static-query,en-US,[]
thank!,introduction,Glad to service you. Have a nice day.,static-query,static-query,en-US,[]
no,introduction,Glad to service you. Have a nice day.,static-query,static-query,en-US,[]
No thank you,introduction,Glad to service you. Have a nice day.,static-query,static-query,en-US,[]
That’s it,introduction,Glad to service you. Have a nice day.,static-query,static-query,en-US,[]
that’s enough,introduction,Glad to service you. Have a nice day.,static-query,static-query,en-US,[]
Nothing else,introduction,Glad to service you. Have a nice day.,static-query,static-query,en-US,[]
No more,introduction,Glad to service you. Have a nice day.,static-query,static-query,en-US,[]
I’m satisfied,introduction,Glad to service you. Have a nice day.,static-query,static-query,en-US,[]
i am satisfied,introduction,Glad to service you. Have a nice day.,static-query,static-query,en-US,[]
good day,introduction,Glad to service you. Have a nice day.,static-query,static-query,en-US,[]
Good night,introduction,Glad to service you. Have a nice day.,static-query,static-query,en-US,[]
How are you?,small-talk,I’m good. Thanks for asking!!,static-query,static-query,en-US,[]
How are you doing?,small-talk,I’m good. Thanks for asking!!,static-query,static-query,en-US,[]
How is it going?,small-talk,I’m good. Thanks for asking!!,static-query,static-query,en-US,[]
What’s up?,small-talk,Nothing much! Just waiting for you!,static-query,static-query,en-US,[]
What is up?,small-talk,Nothing much! Just waiting for you!,static-query,static-query,en-US,[]
Tell me something,small-talk,"I’m here to help! Ask me about your balance, history any anything related to your account",static-query,static-query,en-US,[]
OK,small-talk,"I’m here to help! Ask me about your balance, history any anything related to your account",static-query,static-query,en-US,[]
How can you help?,small-talk,"I’m here to help! Ask me about your balance, history any anything related to your account",static-query,static-query,en-US,[]
What can you do?,small-talk,"I’m here to help! Ask me about your balance, history any anything related to your account",static-query,static-query,en-US,[]
Can you help me?,small-talk,"I’m here to help! Ask me about your balance, history any anything related to your account",static-query,static-query,en-US,[]
"Hi, my name is",small-talk,Hi! How can I help you with your account?,static-query,static-query,en-US,[]
Happy birthday!,small-talk,Thank you!! How can I help you with your account?,static-query,static-query,en-US,[]
I have a question,small-talk,"I’m here to help! Ask me about your balance, history any anything related to your account",static-query,static-query,en-US,[]
can you help me?,small-talk,"I’m here to help! Ask me about your balance, history any anything related to your account",static-query,static-query,en-US,[]
Do you know a joke?,small-talk,Sadly no! But I can help you with your account!,static-query,static-query,en-US,[]
You’re funny,small-talk,Thanks! How can I help you with your account?,static-query,static-query,en-US,[]
Tell me a joke,small-talk,Sadly no! But I can help you with your account!,static-query,static-query,en-US,[]
Tell a joke,small-talk,Sadly no! But I can help you with your account!,static-query,static-query,en-US,[]
are you single?,small-talk,Sadly no! But I can help you with your account!,static-query,static-query,en-US,[]
you are single,small-talk,Sadly no! But I can help you with your account!,static-query,static-query,en-US,[]
Where do you live?,small-talk,My home is in where your mobile! How can I help you with your account?,static-query,static-query,en-US,[]
Your address,small-talk,My home is in where your mobile! How can I help you with your account?,static-query,static-query,en-US,[]
Who created you?,small-talk,My creator is mad genius named Utkarsh! How can I help you with your account?,static-query,static-query,en-US,[]
Who is your creator?,small-talk,My creator is mad genius named Utkarsh! How can I help you with your account?,static-query,static-query,en-US,[]
Will you marry me?,small-talk,Sadly no! But I can help you with your account!,static-query,static-query,en-US,[]
Do you like people?,small-talk,I love interacting with people! How can I help you with your account?,static-query,static-query,en-US,[]
What are you?,small-talk,"I am a very intelligent bot, but I love interacting with people! How can I help you with your account?",static-query,static-query,en-US,[]
Are you a robot?,small-talk,"I am a very intelligent bot, but I love interacting with people! How can I help you with your account?",static-query,static-query,en-US,[]
A Bot?,small-talk,"I am a very intelligent bot, but I love interacting with people! How can I help you with your account?",static-query,static-query,en-US,[]
Are you human?,small-talk,"I am a very intelligent bot, but I love interacting with people! How can I help you with your account?",static-query,static-query,en-US,[]
Not human?,small-talk,"I am a very intelligent bot, but I love interacting with people! How can I help you with your account?",static-query,static-query,en-US,[]
Are you a bot?,small-talk,"I am a very intelligent bot, but I love interacting with people! How can I help you with your account?",static-query,static-query,en-US,[]
You a robot?,small-talk,"I am a very intelligent bot, but I love interacting with people! How can I help you with your account?",static-query,static-query,en-US,[]
you’re cute,small-talk,Thank you!! How can I help you with your account?,static-query,static-query,en-US,[]
You are cute,small-talk,Thank you!! How can I help you with your account?,static-query,static-query,en-US,[]
You are handsome,small-talk,Thank you!! How can I help you with your account?,static-query,static-query,en-US,[]
Do you have a hobby?,small-talk,I love interacting with people! How can I help you with your account?,static-query,static-query,en-US,[]
Tell me your hobby,small-talk,I love interacting with people! How can I help you with your account?,static-query,static-query,en-US,[]
Tell me your hobbies,small-talk,I love interacting with people! How can I help you with your account?,static-query,static-query,en-US,[]
Tell me about your personality,small-talk,I love interacting with people! How can I help you with your account?,static-query,static-query,en-US,[]
you’re annoying,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
Are you stupid?,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
you’re stupid,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
Stupid bot,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
stupid robot,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
you’re so stupid!,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
insane!!,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
foolish bot,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
Foolish robot,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
You are annoying,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
I hate you,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
you’re boring,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
You are boring,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
You are bad,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
you’re bad,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
you’re crazy,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
You are crazy,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
need to talk to human,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
Let me talk to customer agent,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
Let me talk to customer support,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
Let me speak to customer service,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
Let me speak to customer agent,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
Let me speak to customer support,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
Let me talk to customer service,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
Customer service,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
Customer support,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
Customer agent,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
Need a human,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
Need live human,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
need to speak to human,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
I need customer support,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
Need customer support,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
I want to speak to human,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
I want to speak to customer service,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
I need human,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
i need customer service,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
i need live agent,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
I want to speak to live agent,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
I need answers now!,escalation,Sure! You can reach out to our customer service on XXX-XXX-XXXX. Thank you for reaching out!!,static-query,static-query,en-US,[]
Don’t you understand anything?,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
You don’t understand anything,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
you’re dumb,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
are you dumb?,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
what the fuck?,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
Fuck you,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
This is shit,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
fuck,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
hell,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
Fuck off,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
shitty,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
Shitty service,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
stupid,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
Stupid bot,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
You are disgusting,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
you’re disgusting,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
you’re horrible,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
you are horrible,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
you are useless,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
you’re useless,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
useless,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
This is stupid,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
You have no sense,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
You make no sense,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
You have no use,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
You are an idiot,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
you're an idiot,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
you idiot,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
card block,card-block,Sure. Your card ending XXXX has been successfully blocked.,dynamic-query,dynamic-query,en-US,[]
Block card,card-block,Sure. Your card ending XXXX has been successfully blocked.,dynamic-query,dynamic-query,en-US,[]
block my card,card-block,Sure. Your card ending XXXX has been successfully blocked.,dynamic-query,dynamic-query,en-US,[]
Can you block my card?,card-block,Sure. Your card ending XXXX has been successfully blocked.,dynamic-query,dynamic-query,en-US,[]
Please block my card,card-block,Sure. Your card ending XXXX has been successfully blocked.,dynamic-query,dynamic-query,en-US,[]
I need to block my card,card-block,Sure. Your card ending XXXX has been successfully blocked.,dynamic-query,dynamic-query,en-US,[]
Card needs to be blocked,card-block,Sure. Your card ending XXXX has been successfully blocked.,dynamic-query,dynamic-query,en-US,[]
card unblock,card-unblock,Sure. Your card ending XXXX has been successfully unblocked.,dynamic-query,dynamic-query,en-US,[]
unblock card,card-unblock,Sure. Your card ending XXXX has been successfully unblocked.,dynamic-query,dynamic-query,en-US,[]
unblock my card,card-unblock,Sure. Your card ending XXXX has been successfully unblocked.,dynamic-query,dynamic-query,en-US,[]
Can you unblock my card?,card-unblock,Sure. Your card ending XXXX has been successfully unblocked.,dynamic-query,dynamic-query,en-US,[]
Please unblock my card,card-unblock,Sure. Your card ending XXXX has been successfully unblocked.,dynamic-query,dynamic-query,en-US,[]
I need to unblock my card,card-unblock,Sure. Your card ending XXXX has been successfully unblocked.,dynamic-query,dynamic-query,en-US,[]
Card needs to be unblocked,card-unblock,Sure. Your card ending XXXX has been successfully unblocked.,dynamic-query,dynamic-query,en-US,[]
How much money do I have?,balance-inquiry,"Your wallet balance is $3,261",dynamic-query,dynamic-query,en-US,[]
How much money do I have in my bank account?,balance-inquiry,"Your wallet balance is $3,261",dynamic-query,dynamic-query,en-US,[]
Show me the money!!,balance-inquiry,"Your wallet balance is $3,261",dynamic-query,dynamic-query,en-US,[]
Where’s my money?,balance-inquiry,"Your wallet balance is $3,261",dynamic-query,dynamic-query,en-US,[]
what’s my money?,balance-inquiry,"Your wallet balance is $3,261",dynamic-query,dynamic-query,en-US,[]
money?,balance-inquiry,"Your wallet balance is $3,261",dynamic-query,dynamic-query,en-US,[]
Show me the moolah!,balance-inquiry,"Your wallet balance is $3,261",dynamic-query,dynamic-query,en-US,[]
Woohoooo!!!,small-talk,You sound happy! How can I help you with your account?,static-query,static-query,en-US,[]
Woohoo!!,small-talk,You sound happy! How can I help you with your account?,static-query,static-query,en-US,[]
Yippiee!,small-talk,You sound happy! How can I help you with your account?,static-query,static-query,en-US,[]
Yahoo!,small-talk,You sound happy! How can I help you with your account?,static-query,static-query,en-US,[]
wtf?,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
WTH?,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
fuck this,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
Are you stupid?,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
Are you idiot?,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
You are stupid,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
You're stupid,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
You are dumb,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
you’re dumb,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
you’re fuck,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
you are fuck,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]
What the hell,expletive,Sorry you feel this way.,static-query,static-query,en-US,[]